id;name;website;vertical;sub_vertical;country;region;city;logo_url;estadio_actual;solucion;mail;social_media;contact_phone;founders;founded;organization_type;outcome_status;business_model;badges;notes;status;lat;lng
;Kallpa Generación;kallpageneracion.com.pe/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Sparta;spartacommodities.com/;otra;otra_especificar;Suiza;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Bapco Energies;bapcoenergies.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;OQGN;oqgn.com/index.html;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Wood Mackenzie;woodmac.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Pemex;pemex.com/en/paginas/default.aspx;otra;otra_especificar;México;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Engie Energia Chile;engie-energia.cl/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;ONGC Videsh;ongcvidesh.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Maritime Developments;maritimedevelopments.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Freeport LNG;freeportlng.com/;otra;otra_especificar;México;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Sterlite Power;sterlitepower.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;A-Gas;agas.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Kuwait Petroleum Corporation;kpc.com.kw/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Worley;worley.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;C-Capture;c-capture.co.uk/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Danske Commodities;danskecommodities.com/;otra;otra_especificar;S/D;Denmark;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;ESENTIA Energy Systems;esentiaenergy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Comerc Energia;comerc.com.br/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Australia Pacific LNG;aplng.com.au/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Wien Energie;wienenergie.at/eportal3/;otra;otra_especificar;S/D;Austria;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Prime Oil & Gas Coöperatief U.A.;primeoilandgas.com/;otra;otra_especificar;Países Bajos;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Proteus;xergy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Terpel;terpel.com/;otra;otra_especificar;S/D;Colombia;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Urja Mobility;urjamobility.in/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Valvitalia;valvitalia.com/;otra;otra_especificar;S/D;Italy;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Ecopol;ecopol.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;DynaMac Holdings;dyna-mac.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Novair Medical;novairmedical.com/en;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Hydromea;hydromea.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;TotalEnergies;corporate.totalenergies.be/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Lwart Environmental Solutions;lwart.com.br/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Crosstown H2R;crosstown-h2r.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;GNDB;nedgia.es/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Oliva AD;oliva.bg/;otra;otra_especificar;S/D;Bulgaria;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;SuperFlox;superflox.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Mazarine Energy;mazarine-energy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Gunvor Group;gunvorgroup.com/en/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Aberdeen Harbour Board;portofaberdeen.co.uk/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;RAB Microfluidics;rab-microfluidics.co.uk/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;ML One;ml-1.com/en/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;OPTITRADE;optitrade-ltd.com/;otra;otra_especificar;S/D;Thailand;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Silentmode Sdn. Bhd.;silentmode.my/;otra;otra_especificar;S/D;Malaysia;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Collectif Énergie;collectifenergie.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Harbour Energy;harbourenergy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Air Control Entech;aircontrolentech.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Xsens;xsens.no/;otra;otra_especificar;S/D;Norway;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Bisonte;bisonte.pl/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Mint Energie;mint-energie.com/pages/accueil/accueil.aspx;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Apollo Offshore Engineering;apollo-oe.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Ocean Access;oceanaccess.no/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Geosteering Technologies Inc.;geosteertech.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Aramco;europe.aramco.com/en/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Resman Energy Technology;resmanenergy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Kuwait National Petroleum Company;knpc.com/;otra;otra_especificar;S/D;Kuwait;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Kuwait Gulf Oil Company;kgoc.com/;otra;otra_especificar;S/D;Kuwait;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;DAS Environmental Expert;das-ee.com/en/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Open Grid Europe;oge.net/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Cavitas Energy;cavitas.co.uk/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Three60 Energy;three60energy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Fuchs Petrolub;fuchs.com/gruppe/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;eserv;eserv-int.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;EnerMech;enermech.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Hygear;hygear.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Radiant;radiantnuclear.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Fourth Power;gofourth.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Koolboks;koolboks.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Group14 Technologies;group14.technology/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;BLUETTI;bluetti.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Emerald AI;emeraldai.co/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;DroneDeploy;dronedeploy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Mainspring Energy;mainspringenergy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Ultraviolette Automotive;ultraviolette.com/;otra;otra_especificar;India;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;General Fusion;generalfusion.com/;otra;otra_especificar;S/D;Canada;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Sempra Infrastructure;semprainfrastructure.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Nexamp;nexamp.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Span;span.io/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Last Energy;lastenergy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Chakr Innovation;chakr.in/;otra;otra_especificar;India;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;OXCCU;oxccu.com/;otra;otra_especificar;Reino Unido;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Eden;edengeopower.com/;otra;otra_especificar;México;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;XL Batteries;xlbatteries.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Serentica Renewables;serenticaglobal.com/;otra;otra_especificar;India;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;The Nuclear Company;thenuclearcompany.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Nitricity;nitricity.co/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Pure Lithium;purelithium.io/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Arevon;arevonenergy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;SingAuto;singautotech.com/;otra;otra_especificar;Singapur;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Terrestrial Energy;terrestrialenergy.com/;otra;otra_especificar;S/D;Canada;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Deep Isolation;deepisolation.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Proxima Fusion;proximafusion.com/;otra;otra_especificar;Alemania;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Fuse Energy;fuseenergy.com/;otra;otra_especificar;Reino Unido;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Factorial Energy;factorialenergy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Verlume;verlume.world/;otra;otra_especificar;Reino Unido;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Deep Sky;deepskyclimate.com/;otra;otra_especificar;S/D;Canada;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Aspen Power;aspenpower.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Kyoto Fusioneering;kyotofusioneering.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Electra;electra.earth/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Nuclearn;nuclearn.ai/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;S.P.O.N.S.O.R. (SCOP);sponsorgo.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Holtec International;holtecinternational.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Odyssey;odysseyenergysolutions.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;ENGIE North America;engie-na.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;ABO Energy;abo-wind.fi/;otra;otra_especificar;Alemania;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Euclid Power;euclidpower.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Sympower;sympower.net/;otra;otra_especificar;Países Bajos;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Terra One;terra.one/en;otra;otra_especificar;Alemania;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Moleaer;moleaer.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Mercuria;mercuria.com/;otra;otra_especificar;Suiza;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Consumers Energy;consumersenergy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Madison Energy Infrastructure;madisonei.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Nexus Renewable Power;nrenew.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Nanoramic Laboratories;nanoramic.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Peak Energy;peakenergy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Seabound;seabound.co/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Univers;univers.com/;otra;otra_especificar;Singapur;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Bidgely;bidgely.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Nyobolt;nyobolt.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;TechMet;techmet.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Zelestra;zelestra.energy/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Instagrid;instagrid.co/;otra;otra_especificar;Alemania;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Edify Energy;edifyenergy.com/;otra;otra_especificar;Australia;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;GameChange Solar;gamechangesolar.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Fervo Energy;fervoenergy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Form Energy;formenergy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Moment Energy;momentenergy.com/;otra;otra_especificar;S/D;Canada;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Ascend Elements;ascendelements.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;24M Technologies;24-m.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Aetherflux;aetherflux.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;SSEN Transmission;ssen-transmission.co.uk/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;encentive;encentive.de/;otra;otra_especificar;Alemania;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;enadyne;enadyne.de/;otra;otra_especificar;Alemania;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Reach;reachpower.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;HIF Global;hifglobal.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Mosaic;joinmosaic.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;EnergyX;energyx.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Dunia Innovation;dunia.ai/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Sparxell;sparxell.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Neuranics;neuranics.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Anaphite;anaphite.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Naco Technologies;nacotechnologies.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;UP Catalyst;upcatalyst.com/;otra;otra_especificar;S/D;Estonia;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Tethis S.p.A;tethis-lab.com/;otra;otra_especificar;S/D;Italy;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Nuada;nuadaco2.com/;otra;otra_especificar;S/D;Portugal;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;DetraPel;detrapel.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
